,Location,Model,Type,Reference,Lithology,Sample,Mg,Al,Si,Ti,V,Mn,Cr,Zn,Co,Ni,Ga,Fe
1569,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,81.10653362151058,35.45661452364506,2162.486144625212,11.205545008634633,11.881145171243325,100.7386101594271,6.0,6.0,1.0,11.93274418846924,1.0,72.36
1570,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,70.1577984518762,26.501543496037076,2602.22101117324,12.708654793582548,12.246669657915216,63.188474398052044,6.0,6.0,1.0,8.820640769173039,1.0,72.36
1571,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,66.32051361081422,22.83966824534102,2172.9350694767263,11.0,11.722130324199718,74.04943782622965,6.0,7.21,1.0,6.018423175041296,1.81,72.36
1572,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,98.84019586696895,33.32212310624705,2307.9865187097093,12.058311610888762,12.720364037091063,93.17669856331491,6.0,6.0,1.0,11.45748565975488,1.0,72.36
1573,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,44.713822438133896,20.651873830270205,2000.0,13.040914224797273,11.936717694872296,55.43190402344318,6.0,6.0,1.0,6.108492818271992,1.0,72.36
1574,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W14-39,59.62682438494265,27.20951058324842,2000.0,11.345107705451165,12.852009254965635,66.65304351350542,6.0,6.0,1.0,9.503798615364035,1.0,72.36
1575,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,131.24114860109262,53.52674535390159,2000.0,12.334478909452086,8.402460498516295,95.18820704099413,6.0,26.004262260267446,1.054078664318034,26.09424435541079,7.1108650421052335,72.36
1576,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,197.17223486995806,97.57682012562765,4181.899631327066,22.981993286068867,8.783391240240215,77.87037044772515,6.0,34.242963136296126,2.137653841345183,27.336591580029044,8.261800728819429,72.36
1577,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,508.985500803494,408.10113418710995,2672.7503870028527,24.914768187051873,8.597502251534985,78.43727437300079,6.0,76.88354755051182,3.409583644956444,28.89561512870341,8.890111367746293,72.36
1578,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-75,177.23875175333922,89.2540857573806,2000.0,25.895788576204705,8.788541226899609,76.69648989218591,6.0,50.41863456318698,3.062044052945599,31.576026090140203,8.423380196868383,72.36
1579,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,178.6246304443218,96.66324032965298,2922.637003988766,16.389773784127897,3.5000814044898068,44.44087639377181,6.0,6.0,1.0,8.518111506057071,1.2274523298103976,72.36
1580,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,119.60844569405508,84.40644971281145,2000.0,17.095608205068803,3.00373035450712,48.56688346134001,6.0,11.25186899119799,1.0,7.258470576734193,1.3213620177900685,72.36
1581,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,250.4514895808185,152.2803284259777,2000.0,16.350396363317667,4.046245817251734,62.1553138367345,6.0,9.715329041753137,1.0,9.497087518697553,1.2239284927073475,72.36
1582,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,245.08961573197996,102.74513443067343,2000.0,17.99733661624717,3.8230300052046373,62.46064454859289,6.0,8.701343251591995,1.0,9.523918692765081,1.2769169963527602,72.36
1583,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,155.79399307912863,78.27211305145826,2000.0,16.733513035999568,5.090126941471639,56.2618588530132,6.0,10.226179410823244,1.0,7.185504956571034,1.2559571332335568,72.36
1584,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,158.46751388143505,64.74370958560372,2000.0,15.241787000398757,3.180232453912319,68.76278644969412,6.0,6.461972565194128,1.0,7.203010235790703,1.1597978827388913,72.36
1585,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,79.29702040208477,34.2853310940981,3612.715372260713,13.768303457959966,4.098723760666179,37.09229684219624,6.0,12.338642606914503,1.0,10.168754621716664,1.082302280932281,72.36
1586,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,410.494012993858,250.61379983907818,2000.0,14.770084910365041,3.319042699101898,56.38193923502998,6.0,6.455974510868104,1.0,9.177518329293868,1.3758894696097925,72.36
1587,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,542.8126996474673,296.4062673334396,4839.144422678813,14.476901803113421,3.9931364549541297,62.472775716433205,6.0,7.048052137237268,1.0,10.64623551281025,1.3576817133309518,72.36
1588,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,125.12290576387157,68.29928743779284,2000.0,16.12853676207667,5.190548584239055,52.529808063338116,6.0,6.526486581668997,1.0,8.331728807659045,1.3088331368368302,72.36
1589,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,241.0693194586508,94.04158654524626,2000.0,16.67849512170158,3.710050514839863,50.89908586261969,6.0,6.0,1.0,9.087253488384674,1.2800396631568327,72.36
1590,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,303.5539091249987,151.57756017599382,2000.0,16.981686294961186,3.2126320786449143,60.284047667438784,6.0,10.257674825023418,1.0,7.652540994570341,1.273789411076642,72.36
1591,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,67.0577057549293,66.72416120332767,2000.0,14.384597595205493,4.738008282855534,62.58999720294278,6.0,7.08076301030615,1.0,9.068297843552864,2.0601857500871903,72.36
1592,Madoonga,BIF,Unassigned,Duuring et al 2018,,MD-W15-21,113.81018853276566,78.99033390860794,2000.0,16.17793280333348,6.075165875549399,55.30095278708479,6.0,6.0,1.0,14.205149803693697,1.7337010723766004,72.36
1593,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-01,307.5087236193165,372.1848516712035,7392.431590861943,11.13132313948361,21.443738617726165,166.69151422488093,6.587192224351802,6.2930833593327815,6.471350053178216,2.3247619857737334,1.4922222932067246,68.6615125539812
1594,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-02,282.23279413794467,42.89930824074907,14964.114592911032,94.36225576078354,45.56762726003024,240.9866085547677,6.0,6.0,1.4489841374965247,2.0,1.0,67.49679119897081
1595,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-03,105.97876301800261,246.72646017105498,4704.253286882519,11.0,27.67079787723453,237.31412097229315,9.030560154438989,7.933711377183682,6.895623686497444,3.797025355743042,1.5835373248731215,69.13318105458687
1596,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-04,159.55627179236816,276.7236995400277,4499.28598842568,11.0,34.12291421578871,178.08570283627773,6.0,7.071944309258877,7.243697038488662,3.328519739308128,1.7012788162675891,69.13573927351358
1597,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-05,110.63633341922306,232.35471923019827,3878.7408838725573,19.947037474470683,26.849066258969817,185.21179016531164,12.434764020130464,8.197053664082937,7.331414246164758,2.0,1.4839619632627454,69.18483671234935
1598,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-06,160.58568144346833,58.48787564126221,4123.628164276512,11.0,22.229338698196948,161.05974098441087,6.0,7.124825425588313,7.628296543038611,2.0,2.0051748672835688,69.25884363376514
1599,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-07,122.79818946305238,261.5757737921267,3010.9855025753122,11.787300520284989,29.93757752313899,201.5230106022297,9.705559270883462,9.018477497852832,7.016860523698437,3.483031234359516,2.1890393673938906,69.35324804062037
1600,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-08,82.38810527717928,55.754599595937464,3970.4753358806543,36.20069826319075,17.860492871881934,209.83671523177154,11.101280651031416,7.893181914548887,6.705275438495752,2.0,1.61651890033762,69.25232851297879
1601,Lake Superior,BIF,Early magnetite,Chung et al 2015,,W-061-09,77.1018609722222,90.33146495560256,9088.720964582459,11.0,24.595920115552165,182.4718405062204,6.0,7.081620138158351,7.131328254408173,3.697181306438843,1.7229202680167994,68.51768537259383
